ts,interval,symbol,open,high,low,close,volume,delta,delta_250k_geq,delta_166k_to_250k,delta_86k_to_166k,delta_50k_to_86k,delta_26k_to_50k,delta_11k_to_26k,delta_11k_lt
2016-06-21 00:00:00,1d,XBTUSD,737,750,628.29,668.64,14736687,1164715,620611,0,398000,8588,-112222,1924,247814
2016-06-22 00:00:00,1d,XBTUSD,667.2,682.06,584,603.99,8922536,54142,380000,0,0,-50000,-54272,12704,-234290
2016-06-23 00:00:00,1d,XBTUSD,602.89,627.4,552.5,618.21,13999736,3505386,851973,820827,620581,100000,78096,89596,944313
2016-06-24 00:00:00,1d,XBTUSD,620,681.06,617.88,666.32,9089269,810011,0,0,0,0,44458,-101004,866557
2016-06-25 00:00:00,1d,XBTUSD,665.21,695.4,629.44,663.05,7906033,-735969,0,0,0,-50000,0,-23339,-662630
2016-06-26 00:00:00,1d,XBTUSD,663.51,664.71,598.59,627.5,6574603,-625857,0,0,-100000,63058,-30000,-88072,-470843
2016-06-27 00:00:00,1d,XBTUSD,627.5,666.98,614.94,659.17,6750387,167861,0,0,0,-57341,0,-23228,248430
2016-06-28 00:00:00,1d,XBTUSD,659.96,663.79,631.85,646.55,4347746,-189800,0,0,0,0,0,64677,-254477
2016-06-29 00:00:00,1d,XBTUSD,645.95,648,617.68,641.32,4200081,-162057,0,0,0,0,0,-15971,-146086
2016-06-30 00:00:00,1d,XBTUSD,641.8,679.95,635.01,676.33,6088511,1168313,0,0,0,50000,65743,50906,1001664
2016-07-01 00:00:00,1d,XBTUSD,674.77,688.36,667,677.3,4941252,447854,0,0,0,0,33500,1629,412725
2016-07-02 00:00:00,1d,XBTUSD,677.61,706.7,676.72,706,5198429,525767,0,0,0,0,0,48598,477169
2016-07-03 00:00:00,1d,XBTUSD,705.98,707.1,641.13,656.42,8572721,-1285871,0,0,0,0,0,-172232,-1113639
2016-07-04 00:00:00,1d,XBTUSD,656.52,682.33,641,679.75,3858157,213263,0,0,0,0,57079,27142,129042
2016-07-05 00:00:00,1d,XBTUSD,679.2,680.39,660.89,665.96,3436515,-196745,0,0,0,-80000,27500,-6222,-138023
2016-07-06 00:00:00,1d,XBTUSD,667.03,683.38,667.02,677,2410459,-207437,0,0,0,0,-39514,-24993,-142930
2016-07-07 00:00:00,1d,XBTUSD,677.05,683,606.42,636.91,9343010,2161634,499972,0,403344,476896,-6685,445404,342703
2016-07-08 00:00:00,1d,XBTUSD,637.27,665.34,631.02,661.73,4506702,228418,0,0,0,-109389,-58193,-125003,521003
2016-07-09 00:00:00,1d,XBTUSD,661.28,664.54,622,646.73,6275406,223588,270417,0,0,60452,26571,-26399,-107453
2016-07-10 00:00:00,1d,XBTUSD,646.06,652.67,634.91,650.49,3043916,119914,0,0,0,0,-47388,110106,57196
